,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025
Deanza Total,,,586,553,567,589,602
,Associate in Science for Transfer (A.S.-T) Degree            Total,,149,133,140,178,141
,,"Biology, General-040100",4,13,13,33,19
,,Computer Science (Transfer)-070600,145,120,127,145,122
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,2,5,6,6,11
,,Art-100200,,,2,3,11
,,"Fine Arts, General-100100",2,5,4,3,
,Associate of Science (A.S.) degree                           Total,,75,78,67,73,89
,,Automotive Technology-094800,24,32,30,40,56
,,"Biology, General-040100",39,19,12,19,19
,,Energy Systems Technology-094610,2,6,10,7,4
,,Machining and Machine Tools-095630,8,16,12,6,8
,,Manufacturing and Industrial Technology-095600,1,,,,
,,Mechanical Drafting-095340,1,,,,
,,Musical Instrument Repair-095690,,5,3,1,2
,Associate of Arts (A.A.) degree                              Total,,68,55,59,73,73
,,Applied Photography-101200,8,2,2,4,5
,,Art-100200,2,,,1,1
,,Ceramics-100230,,,2,1,1
,,Computer Networking-070810,22,22,16,22,28
,,Computer Programming-070710,12,7,4,11,2
,,Database Design and Administration-070720,,,2,3,3
,,"Fine Arts, General-100100",2,,1,4,
,,Graphic Art and Design-103000,13,21,25,20,22
,,Music-100400,2,1,3,2,4
,,Painting and Drawing-100210,3,2,2,1,6
,,Photography-101100,2,,2,4,1
,,Sculpture-100220,2,,,,
,Certificate requiring 30 to < 60 semester units              Total,,30,41,19,31,46
,,Automotive Technology-094800,20,23,16,23,37
,,Graphic Art and Design-103000,5,7,1,4,3
,,Machining and Machine Tools-095630,5,9,1,3,6
,,Musical Instrument Repair-095690,,2,1,1,
,Certificate requiring 16 to fewer than 30 semester units     Total,,16,29,23,22,23
,,Automotive Technology-094800,3,9,6,11,13
,,Computer Networking-070810,8,8,3,3,3
,,Computer Programming-070710,2,4,6,1,
,,Database Design and Administration-070720,1,2,2,1,1
,,Energy Systems Technology-094610,1,6,6,4,6
,,"Fine Arts, General-100100",,,,2,
,,Machining and Machine Tools-095630,1,,,,
,Certificate requiring 8 to fewer than 16 semester units      Total,,238,203,227,173,179
,,Applied Photography-101200,3,2,7,5,2
,,Automotive Technology-094800,76,61,100,80,95
,,Computer Infrastructure and Support-070800,,,,1,1
,,Computer Networking-070810,12,7,6,10,8
,,Computer Programming-070710,97,56,49,46,28
,,Computer Support-070820,3,9,5,1,4
,,Drafting Technology-095300,11,4,4,3,4
,,Energy Systems Technology-094610,4,11,9,,
,,Graphic Art and Design-103000,2,5,9,2,2
,,Industrial Quality Control-095680,,9,2,1,
,,Machining and Machine Tools-095630,30,39,36,24,35
,Noncredit award requiring from 288 to < 480 hours            Total,,6,5,10,7,15
,,Applied Photography-101200,,,1,2,1
,,Automotive Technology-094800,6,5,9,4,10
,,Computer Infrastructure and Support-070800,,,,1,4
,Noncredit award requiring from 192 to < 288 hours            Total,,2,3,10,17,14
,,Applied Photography-101200,,,,5,1
,,Automotive Technology-094800,2,3,6,6,11
,,Software Applications-070210,,,4,6,2
,Noncredit award requiring from 96 to < 144 hours             Total,,,1,6,9,11
,,Computer Programming-070710,,1,6,9,11
Evergreen Valley Total,,,91,78,123,82,126
,Associate in Science for Transfer (A.S.-T) Degree            Total,,23,24,50,23,37
,,"Biology, General-040100",23,17,27,18,13
,,Computer Science (Transfer)-070600,,7,23,5,24
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,14,11,17,12,32
,,Art-100200,14,11,17,12,29
,,Dramatic Arts-100700,,,,,2
,,Music-100400,,,,,1
,Associate of Science (A.S.) degree                           Total,,19,8,12,9,8
,,Art-100200,2,1,,,
,,Automotive Technology-094800,10,4,8,9,7
,,Drafting Technology-095300,3,2,,,
,,"Engineering, General (requires Calculus) (Transfer)-090100",3,1,4,,1
,,Painting and Drawing-100210,1,,,,
,Associate of Arts (A.A.) degree                              Total,,5,4,3,3,4
,,Art-100200,2,,1,,2
,,"Biology, General-040100",3,4,1,3,
,,"Engineering, General (requires Calculus) (Transfer)-090100",,,1,,2
,Certificate requiring 30 to < 60 semester units              Total,,10,7,7,6,10
,,Automotive Technology-094800,10,7,7,6,10
,Certificate requiring 16 to fewer than 30 semester units     Total,,,2,6,6,5
,,Alternative Fuels and Advanced Transportation Technology-094840,,2,2,6,3
,,Computer Networking-070810,,,4,,2
,Certificate requiring 8 to fewer than 16 semester units      Total,,20,22,28,23,30
,,Alternative Fuels and Advanced Transportation Technology-094840,,,14,11,8
,,Automotive Technology-094800,19,22,14,12,22
,,Dance-100800,1,,,,
Foothill Total,,,586,600,620,644,823
,Associate in Science for Transfer (A.S.-T) Degree            Total,,52,46,43,30,43
,,"Biology, General-040100",25,14,16,10,14
,,Computer Science (Transfer)-070600,27,32,27,20,29
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,14,9,13,11,11
,,Art-100200,3,4,7,5,6
,,Dramatic Arts-100700,5,2,4,1,3
,,"Fine Arts, General-100100",6,3,2,5,2
,Associate of Science (A.S.) degree                           Total,,55,34,35,46,55
,,"Biology, General-040100",16,4,3,6,11
,,Computer Networking-070810,2,1,1,,3
,,Computer Science (Transfer)-070600,25,18,18,11,18
,,Electrical-095220,2,,4,10,6
,,"Engineering, General (requires Calculus) (Transfer)-090100",8,10,4,8,3
,,Environmental Control Technology-094600,1,,1,2,4
,,"Plumbing, Pipefitting and Steamfitting-095230",1,,4,5,6
,,Sheet Metal and Structural Metal-095640,,1,,4,4
,Associate of Arts (A.A.) degree                              Total,,62,56,37,39,43
,,Art-100200,12,8,6,8,8
,,Commercial Music-100500,13,11,8,13,14
,,Dramatic Arts-100700,,3,2,,1
,,Graphic Art and Design-103000,25,21,16,15,14
,,Music-100400,5,3,2,1,2
,,Photography-101100,4,8,3,1,3
,,Technical Theater-100600,3,2,,1,1
,Certificate requiring 30 to < 60 semester units              Total,,127,160,214,174,316
,,Art-100200,1,1,1,,
,,Commercial Music-100500,4,1,3,3,
,,Energy Systems Technology-094610,,18,,12,20
,,Environmental Control Technology-094600,13,31,32,17,102
,,Graphic Art and Design-103000,4,1,3,5,
,,"Plumbing, Pipefitting and Steamfitting-095230",44,61,35,37,58
,,Sheet Metal and Structural Metal-095640,61,47,140,100,136
,Certificate requiring 16 to fewer than 30 semester units     Total,,165,266,262,303,255
,,Art-100200,1,,1,1,2
,,Commercial Music-100500,3,2,1,3,2
,,Computer Infrastructure and Support-070800,3,1,10,15,17
,,Computer Software Development-070700,35,19,30,24,29
,,Dramatic Arts-100700,,1,2,,2
,,Electrical-095220,118,223,211,212,199
,,Graphic Art and Design-103000,,1,1,,
,,Industrial Quality Control-095680,,,,46,
,,Music-100400,4,4,5,,3
,,Photography-101100,,,1,1,1
,,"Plumbing, Pipefitting and Steamfitting-095230",1,15,,1,
,Certificate requiring 8 to fewer than 16 semester units      Total,,111,29,16,41,100
,,Applied Photography-101200,,,,5,2
,,Commercial Art-101300,1,2,2,2,4
,,Commercial Music-100500,3,2,3,5,4
,,Computer Infrastructure and Support-070800,,,,1,1
,,Electrical-095220,102,20,6,15,30
,,Graphic Art and Design-103000,5,5,4,3,41
,,Industrial Systems Technology and Maintenance-094500,,,,10,17
,,"Information Technology, General-070100",,,1,,
,,Photography-101100,,,,,1
Mission Total,,,207,305,266,512,279
,Associate in Science for Transfer (A.S.-T) Degree            Total,,10,10,7,11,14
,,"Biology, General-040100",10,10,7,11,14
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,3,8,5,3,10
,,Art-100200,3,5,5,2,6
,,"Fine Arts, General-100100",,3,,1,4
,Associate of Science (A.S.) degree                           Total,,129,152,142,175,166
,,"Biology, General-040100",84,81,62,91,91
,,Computer Information Systems-070200,11,23,27,37,33
,,Computer Networking-070810,17,22,25,17,21
,,Electro-Mechanical Technology-093500,,,2,1,6
,,"Engineering, General (requires Calculus) (Transfer)-090100",8,14,15,15,7
,,Graphic Art and Design-103000,9,12,11,14,8
,Associate of Arts (A.A.) degree                              Total,,3,6,2,6,5
,,Art-100200,3,5,1,6,4
,,"Fine Arts, General-100100",,1,1,,1
,Certificate requiring 30 to < 60 semester units              Total,,27,15,6,8,5
,,Alternative Fuels and Advanced Transportation Technology-094840,,4,,,
,,"Engineering, General (requires Calculus) (Transfer)-090100",,,2,1,1
,,Environmental Control Technology-094600,9,,,,
,,Graphic Art and Design-103000,3,11,4,7,4
,,"Plumbing, Pipefitting and Steamfitting-095230",15,,,,
,Certificate requiring 16 to fewer than 30 semester units     Total,,21,93,97,307,78
,,Alternative Fuels and Advanced Transportation Technology-094840,12,13,,143,1
,,Computer Information Systems-070200,3,25,34,62,32
,,Computer Networking-070810,6,20,31,48,25
,,Computer Systems Analysis-070730,,31,27,44,12
,,Electro-Mechanical Technology-093500,,,2,1,4
,,Music-100400,,,1,1,
,,Other Information Technology-079900,,,,,1
,,World Wide Web Administration-070900,,4,2,8,3
,Certificate requiring 8 to fewer than 16 semester units      Total,,10,7,5,2,1
,,Art-100200,,1,4,2,1
,,Computer Networking-070810,10,6,1,,
,Certificate requiring 6 to < 18 semester units               Total,,4,14,2,,
,,"Information Technology, General-070100",2,13,2,,
,,Music-100400,2,1,,,
Ohlone Total,,,272,331,210,268,247
,Associate in Science for Transfer (A.S.-T) Degree            Total,,40,40,24,41,26
,,"Biology, General-040100",9,7,2,4,7
,,Computer Science (Transfer)-070600,31,33,22,37,19
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,9,8,14,7,9
,,Art-100200,1,1,5,,3
,,Dramatic Arts-100700,5,5,6,4,3
,,"Fine Arts, General-100100",3,,1,1,2
,,Music-100400,,2,2,2,1
,Associate of Science (A.S.) degree                           Total,,27,20,28,19,12
,,"Biology, General-040100",11,5,6,6,7
,,Biotechnology and Biomedical Technology-043000,2,1,4,1,1
,,Computer Networking-070810,2,1,6,2,1
,,Computer Programming-070710,1,1,2,2,
,,Computer Science (Transfer)-070600,3,,1,,
,,Computer Support-070820,1,1,1,,
,,"Engineering, General (requires Calculus) (Transfer)-090100",3,5,3,1,
,,"Information Technology, General-070100",4,5,5,6,3
,,Manufacturing and Industrial Technology-095600,,1,,1,
,Associate of Arts (A.A.) degree                              Total,,13,17,21,18,16
,,Art-100200,4,5,9,6,8
,,"Fine Arts, General-100100",7,8,4,4,7
,,Graphic Art and Design-103000,2,2,4,4,1
,,Music-100400,,1,2,2,
,,Technical Theater-100600,,1,2,2,
