,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Hartnell Total,,,"2,341","1,923","2,164","2,478",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,346,304,360,396,
,,Administration of Justice-210500,78,47,49,51,
,,"Agriculture Business, Sales and Service-011200",26,13,24,14,
,,"Biology, General-040100",26,13,23,36,
,,Business Administration-050500,86,87,111,118,
,,"Chemistry, General-190500",6,5,7,1,
,,Child Development/Early Care and Education-130500,14,13,16,17,
,,Computer Science (Transfer)-070600,11,15,7,11,
,,Geology-191400,,2,,,
,,"Health Occupations, General-120100",18,30,26,31,
,,"Mathematics, General-170100",26,30,35,44,
,,"Physics, General-190200",20,20,30,33,
,,Plant Science-010300,30,22,24,33,
,,Television (including combined TV/Film/Video)-060420,5,7,8,7,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,376,290,335,375,
,,Art-100200,10,4,13,18,
,,Dramatic Arts-100700,4,3,,1,
,,Economics-220400,22,24,36,52,
,,English-150100,15,17,15,12,
,,History-220500,10,9,6,7,
,,Kinesiology-127000,34,34,34,41,
,,"Law, General-140100",2,5,13,19,
,,Liberal Studies-490120,42,39,35,45,
,,Music-100400,1,,1,1,
,,Political Science-220700,9,10,6,6,
,,"Psychology, General-200100",129,92,111,122,
,,Sociology-220800,64,26,40,30,
,,Spanish-110500,25,20,15,14,
,,Speech Communication-150600,9,7,10,7,
,Associate of Science (A.S.) degree                           Total,,227,177,199,258,
,,Administration of Justice-210500,22,15,7,12,
,,"Agriculture Business, Sales and Service-011200",6,4,6,2,
,,"Agriculture Technology and Sciences, General-010100",10,3,,,
,,Astronomy-191100,2,,1,2,
,,Automotive Technology-094800,15,10,18,16,
,,"Biology, General-040100",1,2,,1,
,,Child Development/Early Care and Education-130500,17,3,7,8,
,,Civil and Construction Management Technology-095700,6,8,6,16,
,,Computer Programming-070710,37,28,35,48,
,,Computer Support-070820,,,,3,
,,"Engineering, General (requires Calculus) (Transfer)-090100",15,14,19,24,
,,Kinesiology-127000,7,11,6,10,
,,Licensed Vocational Nursing-123020,29,18,23,27,
,,Manufacturing and Industrial Technology-095600,,1,,,
,,Office Technology/Office Computer Applications-051400,5,1,5,4,
,,Other Agriculture and Natural Resources-019900,,,,4,
,,Registered Nursing-123010,40,40,46,50,
,,Respiratory Care/Therapy-121000,15,15,14,19,
,,Welding Technology-095650,,4,6,12,
,Associate of Arts (A.A.) degree                              Total,,411,323,368,400,
,,Administration of Justice-210500,1,,,,
,,Alcohol and Controlled Substances-210440,4,5,8,6,
,,Dramatic Arts-100700,3,1,1,2,
,,Ethnic Studies-220300,1,,2,1,
,,General Studies-493000,,,76,120,
,,"Liberal Arts and Sciences, General-490100",109,88,33,21,
,,Multimedia-061410,5,5,11,10,
,,Music-100400,1,1,,1,
,,Photography-101100,4,2,8,1,
,,"Psychology, General-200100",2,1,,,
,,Spanish-110500,7,6,3,5,
,,Transfer Studies-490110,274,214,226,233,
,Certificate requiring 60+ semester units                     Total,,56,,,,
,,Licensed Vocational Nursing-123020,56,,,,
,Certificate requiring 30 to < 60 semester units              Total,,894,829,902,"1,049",
,,Accounting-050200,5,4,7,3,
,,Administration of Justice-210500,17,7,3,4,
,,"Agriculture Business, Sales and Service-011200",2,,3,,
,,"Agriculture Technology and Sciences, General-010100",14,2,4,4,
,,Alcohol and Controlled Substances-210440,2,4,,,
,,Child Development/Early Care and Education-130500,,8,9,17,
,,Computer Infrastructure and Support-070800,,,4,2,
,,Computer Programming-070710,3,1,2,1,
,,"Engineering, General (requires Calculus) (Transfer)-090100",10,18,12,8,
,,Food Processing and Related Technologies-011300,,12,8,10,
,,Industrial Systems Technology and Maintenance-094500,,,1,,
,,Licensed Vocational Nursing-123020,,40,46,54,
,,Medical Laboratory Technology-120500,,,,2,
,,Multimedia-061410,2,2,4,7,
,,Office Technology/Office Computer Applications-051400,7,5,11,8,
,,Other Agriculture and Natural Resources-019900,,,,10,
,,Photography-101100,1,,,,
,,Plant Science-010300,,,,2,
,,Transfer Studies-490110,830,724,784,910,
,,Welding Technology-095650,1,2,4,7,
,Certificate requiring 16 to fewer than 30 semester units     Total,,15,,,,
,,Child Development/Early Care and Education-130500,15,,,,
,Certificate requiring 8 to fewer than 16 semester units      Total,,16,,,,
,,Food Processing and Related Technologies-011300,16,,,,
