,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Glendale Total,,,"1,949","2,046","2,080","2,175","2,703",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,349,335,293,284,256,
,,Administration of Justice-210500,37,34,23,24,16,
,,"Biology, General-040100",11,13,10,3,11,
,,Business Administration-050500,217,221,186,170,141,
,,Child Development/Early Care and Education-130500,7,10,3,8,8,
,,Geology-191400,,,,1,,
,,"Mathematics, General-170100",43,27,32,38,43,
,,"Physics, General-190200",26,14,18,21,21,
,,Television (including combined TV/Film/Video)-060420,8,16,21,19,16,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,458,342,347,385,403,
,,Anthropology-220200,5,6,4,5,4,
,,Art-100200,27,17,21,20,20,
,,Economics-220400,15,29,25,46,54,
,,English-150100,23,20,19,18,20,
,,"Fine Arts, General-100100",7,3,5,6,8,
,,Geography-220600,2,3,1,4,4,
,,History-220500,30,17,21,15,27,
,,Human Services-210400,3,7,9,6,7,
,,Journalism-060200,9,5,12,2,4,
,,Kinesiology-127000,37,10,15,8,11,
,,Liberal Studies-490120,,,3,1,,
,,Music-100400,,1,1,,1,
,,Philosophy-150900,8,3,4,1,13,
,,Political Science-220700,38,39,44,65,66,
,,"Psychology, General-200100",124,86,81,96,99,
,,Social Justice: Gender Studies-220170,1,1,1,1,4,
,,Sociology-220800,81,56,38,51,45,
,,Spanish-110500,4,5,,1,,
,,Speech Communication-150600,44,34,43,39,16,
,Associate of Science (A.S.) degree                           Total,,300,374,421,386,399,
,,Accounting-050200,39,39,37,43,32,
,,Administration of Justice-210500,5,3,1,,2,
,,Administrative Medical Assisting-120820,7,11,14,8,8,
,,Alcohol and Controlled Substances-210440,,4,4,5,6,
,,Anatomy and Physiology-041000,30,84,104,76,77,
,,Animation-061440,1,2,3,1,2,
,,Applied Photography-101200,2,1,3,2,1,
,,Architecture and Architectural Technology-020100,,3,4,8,5,
,,Astronomy-191100,,1,,1,1,
,,Aviation and Airport Management-302010,6,6,6,9,4,
,,Banking and Finance-050400,1,2,5,4,5,
,,"Biology, General-040100",27,22,18,19,30,
,,Biotechnology and Biomedical Technology-043000,,,,,1,
,,"Business and Commerce, General-050100",7,8,16,11,13,
,,Business Management-050600,7,9,11,12,10,
,,Ceramics-100230,,1,,,4,
,,"Chemistry, General-190500",1,1,1,3,2,
,,Child Development Administration and Management-130580,1,,,3,2,
,,Child Development/Early Care and Education-130500,11,7,10,15,11,
,,Coaching-083560,,,1,1,1,
,,Commercial Dance-100810,2,1,3,1,1,
,,Commercial Music-100500,2,,,,,
,,Computer Infrastructure and Support-070800,2,4,1,1,,
,,Computer Science (Transfer)-070600,1,7,6,12,5,
,,Computer Support-070820,,3,3,3,3,
,,Dietetic Services and Management-130620,2,2,3,,2,
,,Electronics and Electric Technology-093400,,1,3,2,1,
,,"Engineering, General (requires Calculus) (Transfer)-090100",1,1,7,10,15,
,,Fire Technology-213300,10,8,8,6,10,
,,Fitness Trainer-083520,1,,,,1,
,,Geology-191400,1,,1,,1,
,,Hospital and Health Care Administration-120200,,,,6,3,
,,Hospitality-130700,4,5,7,8,3,
,,Infants and Toddlers-130590,3,2,5,2,2,
,,"Information Technology, General-070100",2,12,11,8,8,
,,Insurance-051200,,,,1,2,
,,International Business and Trade-050800,2,3,,,2,
,,Machining and Machine Tools-095630,,,1,1,,
,,Marketing and Distribution-050900,1,2,1,4,5,
,,"Mathematics, General-170100",,1,7,14,15,
,,Mechanical Drafting-095340,2,2,,1,3,
,,Medical Office Technology-051420,1,10,5,5,9,
,,Music-100400,,1,,,3,
,,Office Technology/Office Computer Applications-051400,9,19,36,11,17,
,,Piloting-302020,3,6,3,5,2,
,,Real Estate-051100,7,6,12,7,9,
,,Registered Nursing-123010,88,67,56,54,55,
,,Small Business and Entrepreneurship-050640,1,,3,,3,
,,The School Age Child-130550,1,1,1,1,1,
,,Welding Technology-095650,3,3,,,1,
,,World Wide Web Administration-070900,6,3,,2,,
,Associate of Arts (A.A.) degree                              Total,,187,201,243,315,698,
,,Anatomy and Physiology-041000,37,8,,,,
,,Art-100200,14,18,27,21,32,
,,Biological and Physical Sciences (and Mathematics)-490200,,1,,,,
,,"Biology, General-040100",1,,,,,
,,"Business and Commerce, General-050100",41,54,46,69,50,
,,Dance-100800,,1,,1,,
,,Dramatic Arts-100700,6,6,2,1,4,
,,English-150100,4,8,19,8,10,
,,"Foreign Languages, General-110100",6,4,4,3,3,
,,French-110200,1,2,3,5,2,
,,Humanities-490300,1,,,,,
,,Italian-110400,2,3,,,,
,,Japanese-110800,1,1,4,6,,
,,Journalism-060200,1,,1,2,,
,,"Liberal Arts and Sciences, General-490100",,,,,430,
,,"Mathematics, General-170100",2,1,,,,
,,Music-100400,1,3,,1,1,
,,Other Foreign Languages-119900,8,5,6,6,2,
,,Other Humanities-159900,,,1,,1,
,,Photography-101100,,1,,2,,
,,"Physical Sciences, General-190100",1,2,5,5,3,
,,"Social Sciences, General-220100",47,72,114,175,149,
,,Spanish-110500,6,3,4,2,2,
,,Speech Communication-150600,3,3,4,4,3,
,,Television (including combined TV/Film/Video)-060420,4,5,3,3,6,
,,Transfer Studies-490110,,,,1,,
,Certificate requiring 30 to < 60 semester units              Total,,221,244,270,373,221,
,,Accounting-050200,36,44,38,51,33,
,,Administration of Justice-210500,5,5,4,1,,
,,Alcohol and Controlled Substances-210440,9,12,16,6,12,
,,Animation-061440,1,4,2,1,5,
,,Applied Photography-101200,3,5,5,,2,
,,Architecture and Architectural Technology-020100,1,4,7,8,5,
,,Art-100200,,1,1,1,,
,,Aviation and Airport Management-302010,,4,5,9,,
,,Child Development Administration and Management-130580,1,,,4,2,
,,Commercial Dance-100810,6,,5,1,1,
,,Computer Information Systems-070200,6,8,11,5,5,
,,Computer Infrastructure and Support-070800,2,5,2,1,,
,,Computer Networking-070810,,1,1,,,
,,Computer Science (Transfer)-070600,6,9,8,13,7,
,,Electronics and Electric Technology-093400,,1,,,,
,,Fire Technology-213300,20,1,5,1,,
,,Graphic Art and Design-103000,9,10,8,10,11,
,,Hospitality-130700,10,9,14,14,5,
,,Insurance-051200,,,,2,1,
,,Machining and Machine Tools-095630,1,1,1,5,,
,,Medical Office Technology-051420,3,13,9,10,11,
,,Office Technology/Office Computer Applications-051400,4,11,19,7,11,
,,Piloting-302020,,1,,4,,
,,Registered Nursing-123010,88,67,55,54,55,
,,Small Business and Entrepreneurship-050640,,,3,2,6,
,,Transfer Studies-490110,10,28,51,163,49,
,Certificate requiring 16 to fewer than 30 semester units     Total,,185,229,234,216,221,
,,Accounting-050200,3,3,4,3,1,
,,Administrative Medical Assisting-120820,8,13,18,13,11,
,,Applied Photography-101200,,,3,4,5,
,,Aviation and Airport Management-302010,7,1,,,4,
,,Banking and Finance-050400,2,1,9,5,6,
,,Biotechnology and Biomedical Technology-043000,,,12,16,7,
,,"Business and Commerce, General-050100",13,11,19,14,11,
,,Business Management-050600,8,19,11,16,13,
,,Ceramics-100230,1,1,1,4,4,
,,Child Development/Early Care and Education-130500,10,9,13,17,11,
,,Coaching-083560,,,2,1,3,
