,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Coastline Total,,,"2,302","1,965","2,104","2,009","1,932",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,50,52,42,34,54,
,,"Biology, General-040100",,3,3,2,3,
,,Business Administration-050500,47,47,36,28,44,
,,"Chemistry, General-190500",,,,1,,
,,"Health Occupations, General-120100",,,,1,2,
,,"Mathematics, General-170100",3,2,2,1,4,
,,"Nutrition, Foods, and Culinary Arts-130600",,,,1,1,
,,"Physics, General-190200",,,1,,,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,88,69,68,69,75,
,,Anthropology-220200,,,,2,3,
,,Art-100200,,,,3,2,
,,Child and Adolescent Development-130510,1,2,2,4,6,
,,Economics-220400,3,8,2,6,8,
,,English-150100,5,6,5,2,3,
,,History-220500,8,2,4,7,2,
,,Liberal Studies-490120,7,4,6,3,2,
,,Political Science-220700,,,1,1,3,
,,"Psychology, General-200100",39,25,29,19,21,
,,Sociology-220800,20,9,13,11,16,
,,Spanish-110500,1,,,,,
,,Speech Communication-150600,4,13,6,11,9,
,Associate of Science (A.S.) degree                           Total,,353,291,248,272,318,
,,Accounting-050200,24,31,21,22,21,
,,Business Administration-050500,213,186,135,115,151,
,,Business Management-050600,49,23,29,28,23,
,,Computer Information Systems-070200,,1,5,7,2,
,,Computer Infrastructure and Support-070800,39,42,37,59,48,
,,Computer Networking-070810,18,,,,,
,,Construction Inspection-095720,9,8,5,4,10,
,,Logistics and Materials Transportation-051000,,,8,21,26,
,,Management Development and Supervision-050630,,,1,12,31,
,,Marketing and Distribution-050900,,,7,4,6,
,,Office Technology/Office Computer Applications-051400,1,,,,,
,Associate of Arts (A.A.) degree                              Total,,"1,218",995,948,795,814,
,,Accounting-050200,1,1,,,,
,,Administration of Justice-210500,25,15,13,2,,
,,American Studies-220120,107,97,100,106,118,
,,Biological and Physical Sciences (and Mathematics)-490200,136,112,126,107,105,
,,Business Administration-050500,32,26,20,19,6,
,,Business Management-050600,184,,,,,
,,Digital Media-061400,,,,2,7,
,,Economics-220400,18,30,9,11,15,
,,Educational Aide (Teacher Assistant)-080200,5,,,,,
,,Electronics and Electric Technology-093400,53,44,23,13,3,
,,English-150100,1,1,1,3,2,
,,"Fine Arts, General-100100",8,14,3,4,1,
,,French-110200,1,,1,,,
,,Gerontology-130900,3,3,4,,1,
,,Health Education-083700,,,,2,11,
,,History-220500,5,1,3,5,2,
,,Human Services-210400,18,11,10,6,6,
,,Humanities and Fine Arts-490310,100,93,108,92,109,
,,Humanities-490300,5,8,5,7,5,
,,Industrial and Transportation Security-210530,7,6,8,5,12,
,,"Liberal Arts and Sciences, General-490100",268,246,274,251,272,
,,Logistics and Materials Transportation-051000,125,64,44,23,5,
,,Management Development and Supervision-050630,6,115,66,32,7,
,,"Mathematics, General-170100",4,1,3,3,1,
,,Other Engineering and Related Industrial Technologies-099900,5,8,8,3,12,
,,Paralegal-140200,22,23,28,23,26,
,,Physical Education-083500,15,15,10,7,,
,,"Psychology, General-200100",21,21,16,6,13,
,,Small Business and Entrepreneurship-050640,10,2,4,1,,
,,Sociology-220800,32,37,59,60,71,
,,Spanish-110500,1,1,2,1,1,
,,Speech Communication-150600,,,,1,3,
,Certificate requiring 30 to < 60 semester units              Total,,71,109,114,109,146,
,,Construction Inspection-095720,,,,,6,
,,Digital Media-061400,3,2,4,2,,
,,Transfer Studies-490110,68,107,110,107,140,
,Certificate requiring 16 to fewer than 30 semester units     Total,,397,332,391,428,273,
,,Accounting-050200,25,16,11,26,16,
,,Business Administration-050500,140,149,189,129,104,
,,Business Management-050600,74,10,11,8,7,
,,Child Development/Early Care and Education-130500,,,,,3,
,,Computer Information Systems-070200,,,2,4,1,
,,Computer Infrastructure and Support-070800,34,42,24,68,32,
,,Computer Networking-070810,4,1,,,,
,,Construction Inspection-095720,3,6,26,12,2,
,,Digital Media-061400,,,,,4,
,,Educational Aide (Teacher Assistant)-080200,1,,,1,,
,,Health Education-083700,3,2,2,7,6,
,,"Health Professions, Transfer Core Curriculum-126000",28,21,13,46,15,
,,Industrial and Transportation Security-210530,3,4,9,2,2,
,,International Business and Trade-050800,,,,1,,
,,Logistics and Materials Transportation-051000,25,11,10,9,2,
