,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Pasadena Total,,,"6,233","5,781","10,774","9,915",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,679,553,750,731,
,,Administration of Justice-210500,74,60,62,69,
,,"Biology, General-040100",17,12,41,36,
,,Business Administration-050500,309,296,370,341,
,,Child Development/Early Care and Education-130500,56,33,38,35,
,,Geology-191400,2,3,1,8,
,,"Health Occupations, General-120100",25,16,16,25,
,,Hospitality-130700,,1,4,5,
,,"Mathematics, General-170100",94,71,119,110,
,,"Nutrition, Foods, and Culinary Arts-130600",3,1,6,4,
,,"Physics, General-190200",53,22,36,44,
,,Plant Science-010300,1,2,1,3,
,,Television (including combined TV/Film/Video)-060420,45,36,56,51,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,973,832,"1,238","1,191",
,,Anthropology-220200,11,11,6,23,
,,Art-100200,72,54,95,81,
,,Child and Adolescent Development-130510,118,65,114,124,
,,Dramatic Arts-100700,5,14,15,24,
,,Economics-220400,194,176,287,250,
,,English-150100,40,26,45,37,
,,"Fine Arts, General-100100",17,20,26,16,
,,Geography-220600,8,7,5,8,
,,Global Studies-221020,,2,2,3,
,,History-220500,25,29,36,33,
,,Journalism-060200,4,6,9,12,
,,Kinesiology-127000,34,44,61,55,
,,"Law, General-140100",6,3,13,13,
,,Liberal Studies-490120,9,5,6,4,
,,Music-100400,10,10,8,8,
,,Philosophy-150900,7,1,12,9,
,,Political Science-220700,34,35,35,47,
,,"Psychology, General-200100",241,204,297,293,
,,Social Justice Studies-220130,4,5,6,4,
,,Sociology-220800,70,53,81,79,
,,Spanish-110500,3,3,4,2,
,,Speech Communication-150600,61,59,75,66,
,Associate of Science (A.S.) degree                           Total,,233,266,"2,679","3,329",
,,Accounting-050200,3,10,12,18,
,,Administration of Justice-210500,1,1,3,4,
,,Animation-061440,1,7,5,17,
,,Applied Photography-101200,4,2,2,7,
,,Art-100200,,1,5,5,
,,Automotive Technology-094800,5,5,9,30,
,,Banking and Finance-050400,,3,3,11,
,,Biological and Physical Sciences (and Mathematics)-490200,,,"1,011",974,
,,Biotechnology and Biomedical Technology-043000,4,3,,4,
,,Business Administration-050500,,,573,675,
,,Business Management-050600,,,1,7,
,,Child Development Administration and Management-130580,,,1,3,
,,Child Development/Early Care and Education-130500,9,5,9,18,
,,Children with Special Needs-130520,,1,2,3,
,,Civil and Construction Management Technology-095700,,,,1,
,,Commercial Art-101300,,,2,2,
,,Commercial Music-100500,,1,4,2,
,,Computer Information Systems-070200,,,,1,
,,Computer Infrastructure and Support-070800,6,5,,5,
,,Computer Programming-070710,3,7,13,19,
,,Computer Support-070820,1,5,6,18,
,,Construction Inspection-095720,2,3,3,1,
,,Cosmetology and Barbering-300700,,2,3,9,
,,Culinary Arts-130630,,,1,2,
,,Dental Assistant-124010,,1,4,7,
,,Dental Hygienist-124020,,12,13,23,
,,Dental Laboratory Technician-124030,2,,2,4,
,,Digital Media-061400,1,1,7,13,
,,Drafting Technology-095300,2,1,1,7,
,,Electronic Game Design-061420,2,1,6,9,
,,Electronics and Electric Technology-093400,5,2,5,10,
,,Energy Systems Technology-094610,,,2,2,
,,"Engineering, General (requires Calculus) (Transfer)-090100",3,1,9,13,
