,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
LA Trade Total,,,"2,025","2,390","2,614","2,799","3,552",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,125,106,85,89,93,
,,Administration of Justice-210500,19,30,11,19,13,
,,"Biology, General-040100",5,3,2,6,4,
,,Business Administration-050500,28,32,,5,35,
,,"Business and Commerce, General-050100",,,30,26,,
,,Child Development/Early Care and Education-130500,51,25,24,23,21,
,,"Health Occupations, General-120100",1,1,2,2,4,
,,"Mathematics, General-170100",11,4,10,2,8,
,,"Nutrition, Foods, and Culinary Arts-130600",,3,,,3,
,,"Physics, General-190200",10,8,6,6,5,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,119,123,107,93,99,
,,Child and Adolescent Development-130510,35,27,18,16,17,
,,Economics-220400,,1,2,1,3,
,,English-150100,7,7,6,5,2,
,,History-220500,1,2,6,3,2,
,,Kinesiology-127000,5,6,9,7,3,
,,Political Science-220700,5,5,3,6,9,
,,"Psychology, General-200100",34,49,37,35,41,
,,Social Justice Studies-220130,,1,,1,1,
,,Social Justice: Gender Studies-220170,1,,,,1,
,,Sociology-220800,31,25,26,19,20,
,Associate of Science (A.S.) degree                           Total,,237,250,225,281,243,
,,Automotive Collision Repair-094900,1,3,6,8,2,
,,Automotive Technology-094800,13,11,14,19,19,
,,Biotechnology and Biomedical Technology-043000,3,6,1,3,3,
,,Carpentry-095210,10,8,10,8,13,
,,Chemical Technology-095400,2,5,,2,1,
,,"Chemistry, General-190500",6,2,4,1,2,
,,Child Development/Early Care and Education-130500,17,12,,,,
,,Computer Electronics-093410,7,8,1,7,3,
,,Computer Information Systems-070200,10,8,17,8,13,
,,Corrections-210510,1,,1,,,
,,Diesel Technology-094700,6,11,2,9,5,
,,Digital Media-061400,6,3,5,8,5,
,,Electrical-095220,24,39,30,44,33,
,,Energy Systems Technology-094610,,1,2,,2,
,,"Engineering, General (requires Calculus) (Transfer)-090100",2,1,1,3,,
,,Environmental Control Technology-094600,11,21,18,22,29,
,,Fashion Merchandising-130320,11,6,7,7,4,
,,Industrial Systems Technology and Maintenance-094500,9,1,5,14,14,
,,Machining and Machine Tools-095630,1,2,2,6,2,
,,Manufacturing and Industrial Technology-095600,2,3,2,1,2,
,,"Plumbing, Pipefitting and Steamfitting-095230",2,8,12,16,14,
,,Railroad and Light Rail Operations-094740,,5,1,2,3,
,,Registered Nursing-123010,76,62,56,66,62,
,,Telecommunications Technology-093430,2,1,3,4,2,
,,Water and Wastewater Technology-095800,12,13,19,16,5,
,,Welding Technology-095650,3,10,6,7,5,
,Associate of Arts (A.A.) degree                              Total,,439,554,592,552,689,
,,Accounting-050200,6,9,6,7,3,
,,Architecture and Architectural Technology-020100,3,5,6,7,8,
,,Biological and Physical Sciences (and Mathematics)-490200,104,123,104,96,111,
,,Child Development/Early Care and Education-130500,8,9,16,9,12,
,,Commercial Art-101300,11,13,10,7,16,
,,Cosmetology and Barbering-300700,13,13,25,19,23,
