,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Antelope Valley Total,,,"3,627","3,042","3,154","3,924",
,Baccalaureate of Science (B.S.) degree                       Total,,13,16,21,13,
,,Aeronautical and Aviation Technology-095000,13,16,21,13,
,Associate in Science for Transfer (A.S.-T) Degree            Total,,456,374,334,429,
,,Administration of Justice-210500,91,57,50,68,
,,"Biology, General-040100",44,37,29,34,
,,Business Administration-050500,150,120,108,151,
,,"Chemistry, General-190500",23,21,14,14,
,,Child Development/Early Care and Education-130500,63,43,44,37,
,,Computer Science (Transfer)-070600,7,19,20,24,
,,Geology-191400,1,1,,,
,,"Mathematics, General-170100",36,39,41,41,
,,"Physics, General-190200",25,21,18,29,
,,Television (including combined TV/Film/Video)-060420,16,16,10,31,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,381,360,311,380,
,,Anthropology-220200,9,4,3,2,
,,Art-100200,27,29,26,34,
,,Dramatic Arts-100700,7,10,6,6,
,,Economics-220400,34,30,35,59,
,,English-150100,35,35,20,22,
,,"Fine Arts, General-100100",7,10,9,12,
,,Geography-220600,,2,1,3,
,,History-220500,13,26,14,14,
,,Kinesiology-127000,15,23,13,19,
,,"Law, General-140100",,,6,3,
,,Liberal Studies-490120,,,,1,
,,Music-100400,9,5,4,11,
,,Philosophy-150900,4,1,,4,
,,Political Science-220700,18,15,19,10,
,,"Psychology, General-200100",97,103,88,97,
,,Sociology-220800,69,37,49,52,
,,Spanish-110500,9,6,5,5,
,,Speech Communication-150600,28,24,13,26,
,Associate of Science (A.S.) degree                           Total,,453,386,434,490,
,,Accounting-050200,11,9,5,15,
,,Administrative Medical Assisting-120820,10,9,7,1,
,,Aeronautical and Aviation Technology-095000,9,8,11,11,
,,Aircraft Fabrication-095050,98,76,91,115,
,,Automotive Collision Repair-094900,9,6,16,,
,,Automotive Technology-094800,5,,4,5,
,,Aviation Airframe Mechanics-095010,16,9,9,14,
,,Aviation Powerplant Mechanics-095020,17,9,9,15,
,,"Biology, General-040100",26,20,18,39,
,,Business Administration-050500,,,1,,
,,"Business and Commerce, General-050100",19,12,32,28,
,,Business Management-050600,,,1,,
,,"Chemistry, General-190500",,,,13,
,,Clinical Medical Assisting-120810,15,6,8,1,
,,Computer Information Systems-070200,6,5,12,14,
,,Computer Networking-070810,8,4,6,7,
,,Computer Programming-070710,8,7,8,2,
,,Electrical-095220,14,6,9,14,
,,Electronics and Electric Technology-093400,8,6,9,8,
,,"Engineering, General (requires Calculus) (Transfer)-090100",20,33,24,24,
,,Environmental Control Technology-094600,9,10,4,6,
,,Fire Technology-213300,7,9,7,13,
,,Horticulture-010900,,3,1,,
,,Landscape Design and Maintenance-010910,,1,,,
,,"Mathematics, General-170100",2,,,,
,,Medical Assisting-120800,13,7,12,21,
,,Office Management-051440,,,4,7,
,,Office Technology/Office Computer Applications-051400,10,5,4,1,
,,Radiologic Technology-122500,8,10,9,13,
,,Real Estate-051100,11,12,6,6,
,,Registered Nursing-123010,71,70,68,57,
,,Respiratory Care/Therapy-121000,12,18,18,16,
,,Software Applications-070210,4,2,4,3,
,,Welding Technology-095650,6,11,11,14,
,,Wildland Fire Technology-213310,1,3,6,7,
,Associate of Arts (A.A.) degree                              Total,,882,768,871,"1,012",
,,Administration of Justice-210500,86,62,74,85,
,,Animation-061440,8,6,12,11,
,,Applied Photography-101200,10,5,13,10,
,,Biological and Physical Sciences (and Mathematics)-490200,181,170,183,258,
,,"Business and Commerce, General-050100",,1,,,
,,Child Development Administration and Management-130580,,,23,34,
,,Child Development/Early Care and Education-130500,40,28,,,
,,Commercial Music-100500,3,6,5,4,
,,Computer Graphics and Digital Imagery-061460,12,15,16,13,
,,Dance-100800,,1,2,1,
,,Desktop Publishing-061450,1,,2,,
,,Educational Aide (Teacher Assistant)-080200,3,2,3,3,
,,"Family and Consumer Sciences, General-130100",1,,,,
,,Fashion-130300,1,1,,,
,,Multimedia-061410,2,1,4,9,
,,Sign Language Interpreting-085010,18,11,3,8,
,,Sign Language-085000,23,12,9,10,
,,"Social Sciences, General-220100",355,332,365,409,
,,The School Age Child-130550,3,1,1,2,
,,Transfer Studies-490110,135,114,156,155,
,Certificate requiring 30 to < 60 semester units              Total,,"1,074",827,798,"1,002",
,,Accounting-050200,9,6,2,16,
,,Administrative Medical Assisting-120820,11,9,6,1,
,,Alcohol and Controlled Substances-210440,10,1,6,13,
,,Animation-061440,7,10,10,11,
,,Applied Photography-101200,2,1,2,7,
,,Automotive Collision Repair-094900,30,14,39,16,
,,Automotive Technology-094800,,,,3,
,,Aviation Airframe Mechanics-095010,29,6,7,11,
,,Aviation Powerplant Mechanics-095020,17,9,11,14,
,,"Business and Commerce, General-050100",18,13,33,29,
,,Business Management-050600,,,1,,
,,Child Development/Early Care and Education-130500,44,27,23,35,
,,Commercial Music-100500,,,,1,
,,Computer Graphics and Digital Imagery-061460,9,4,8,13,
,,Computer Information Systems-070200,4,4,3,7,
,,Computer Networking-070810,9,3,6,8,
,,Computer Programming-070710,8,7,8,3,
,,Desktop Publishing-061450,,,1,,
,,Electrical-095220,15,14,17,26,
,,Electronics and Electric Technology-093400,13,7,9,8,
,,Environmental Control Technology-094600,7,,2,5,
,,Fire Academy-213350,,,,5,
,,Fire Technology-213300,,,,4,
,,Horticulture-010900,1,4,,,
,,Landscape Design and Maintenance-010910,1,1,,,
,,Licensed Vocational Nursing-123020,23,17,18,16,
,,Marketing and Distribution-050900,1,,,,
,,Medical Assisting-120800,12,7,7,15,
,,Multimedia-061410,2,1,4,6,
,,Office Technology/Office Computer Applications-051400,7,2,3,1,
,,Real Estate-051100,13,11,7,7,
,,Sign Language Interpreting-085010,17,10,4,8,
,,Sign Language-085000,24,13,10,10,
,,Small Business and Entrepreneurship-050640,,1,,,
,,Software Applications-070210,4,3,4,4,
,,The School Age Child-130550,5,,1,1,
,,Transfer Studies-490110,722,620,541,690,
,,Wildland Fire Technology-213310,,2,5,8,
,Certificate requiring 16 to fewer than 30 semester units     Total,,296,256,299,401,
,,Accounting-050200,3,3,2,2,
,,Aeronautical and Aviation Technology-095000,11,15,20,26,
,,Aircraft Fabrication-095050,178,121,141,201,
,,Applied Photography-101200,8,7,14,5,
,,Automotive Technology-094800,7,,7,6,
,,Child Development/Early Care and Education-130500,,,,61,
,,Clinical Medical Assisting-120810,14,10,11,1,
,,Commercial Music-100500,2,12,8,7,
,,Computer Graphics and Digital Imagery-061460,3,13,9,1,
,,Computer Information Systems-070200,6,2,12,9,
,,Computer Networking-070810,9,5,9,4,
,,Desktop Publishing-061450,1,,1,,
,,Educational Aide (Teacher Assistant)-080200,3,3,4,4,
,,Electrical-095220,3,3,,,
,,"Engineering, General (requires Calculus) (Transfer)-090100",,,4,4,
,,Environmental Control Technology-094600,14,3,10,10,
,,Fire Academy-213350,,,3,3,
,,Fire Technology-213300,5,8,7,9,
,,Manufacturing and Industrial Technology-095600,,18,3,8,
,,Multimedia-061410,,,,2,
,,Office Management-051440,,,9,11,
,,Office Technology/Office Computer Applications-051400,5,2,1,,
,,Real Estate-051100,11,14,8,8,
,,Software Applications-070210,,,,3,
,,Welding Technology-095650,13,17,16,16,
,Certificate requiring 8 to fewer than 16 semester units      Total,,14,18,22,128,
,,Aeronautical and Aviation Technology-095000,,,,3,
,,Child Development/Early Care and Education-130500,,,,90,
,,Fitness Trainer-083520,2,3,2,1,
,,Geographic Information Systems-220610,3,,,5,
,,Industrial Electronics-093420,9,13,12,18,
,,Industrial Quality Control-095680,,,,1,
,,Office Management-051440,,1,8,10,
,,Wildland Fire Technology-213310,,1,,,
