,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Chaffey Total,,,"4,897","4,148","3,553","3,117","3,548",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,630,621,650,590,756,
,,Administration of Justice-210500,140,99,111,97,93,
,,"Biology, General-040100",4,13,26,29,34,
,,Business Administration-050500,326,306,294,259,337,
,,"Chemistry, General-190500",11,6,5,,5,
,,Child Development/Early Care and Education-130500,26,64,66,45,70,
,,Computer Science (Transfer)-070600,14,22,21,34,41,
,,Environmental Science-030100,,,,2,2,
,,Geology-191400,2,2,2,1,2,
,,"Health Occupations, General-120100",9,23,35,45,67,
,,Hospitality-130700,,4,6,3,6,
,,"Mathematics, General-170100",43,34,36,28,50,
,,"Nutrition, Foods, and Culinary Arts-130600",3,5,3,3,1,
,,"Physics, General-190200",31,18,23,19,21,
,,Television (including combined TV/Film/Video)-060420,21,25,22,25,27,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,848,729,694,683,849,
,,Anthropology-220200,16,26,17,11,19,
,,Art-100200,51,44,53,33,61,
,,Dramatic Arts-100700,10,7,9,10,9,
,,Economics-220400,31,29,20,31,40,
,,English-150100,55,58,44,50,47,
,,"Fine Arts, General-100100",12,5,7,3,8,
,,Geography-220600,3,6,2,4,4,
,,History-220500,41,42,29,30,40,
,,Journalism-060200,9,9,5,5,10,
,,Kinesiology-127000,14,34,42,45,42,
,,"Law, General-140100",,1,1,7,10,
,,Liberal Studies-490120,55,52,52,56,72,
,,Music-100400,5,5,5,8,5,
,,Philosophy-150900,9,5,6,4,5,
,,Political Science-220700,34,28,24,15,19,
,,"Psychology, General-200100",216,198,182,208,235,
,,Social Justice Studies-220130,6,5,3,3,4,
,,Sociology-220800,137,104,99,66,83,
,,Spanish-110500,16,12,12,5,14,
,,Speech Communication-150600,128,59,82,89,122,
,Associate of Science (A.S.) degree                           Total,,463,498,473,510,560,
,,Accounting-050200,37,43,45,41,46,
,,Architectural Drafting-095310,4,3,4,7,5,
,,Automotive Technology-094800,9,14,15,15,22,
,,Aviation Airframe Mechanics-095010,5,6,7,10,5,
,,Aviation Powerplant Mechanics-095020,4,5,6,6,1,
,,"Biology, General-040100",11,10,11,10,18,
,,Business Administration-050500,35,8,20,16,21,
,,Business Management-050600,24,12,18,17,23,
,,"Chemistry, General-190500",,,,,1,
,,Child Development/Early Care and Education-130500,21,33,14,22,14,
,,Commercial Art-101300,,1,,2,,
,,Commercial Music-100500,,6,1,6,9,
,,Computer Information Systems-070200,25,19,21,34,22,
,,Computer Infrastructure and Support-070800,16,14,22,20,26,
,,Corrections-210510,14,6,9,4,4,
,,Culinary Arts-130630,11,17,13,13,12,
,,Dental Assistant-124010,4,8,8,2,6,
,,Earth Science-193000,,,2,,,
,,Educational Aide (Teacher Assistant)-080200,,1,,,,
,,Electrical Systems and Power Transmission-093440,6,16,6,10,19,
,,Electro-Mechanical Technology-093500,,3,2,5,2,
