,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Berkeley City Total,,,942,839,932,907,
,Associate in Science for Transfer (A.S.-T) Degree            Total,,77,69,85,103,
,,"Biology, General-040100",11,11,8,9,
,,Business Administration-050500,40,39,44,45,
,,"Mathematics, General-170100",14,13,27,34,
,,"Physics, General-190200",,,4,6,
,,Television (including combined TV/Film/Video)-060420,12,6,2,9,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,177,142,155,160,
,,Anthropology-220200,6,3,4,7,
,,Art-100200,10,12,7,8,
,,Child and Adolescent Development-130510,,,3,10,
,,Economics-220400,23,28,23,30,
,,English-150100,6,5,2,4,
,,"Fine Arts, General-100100",2,1,3,5,
,,Global Studies-221020,5,3,2,2,
,,History-220500,9,6,4,2,
,,Human Services-210400,,,2,4,
,,Liberal Studies-490120,5,2,1,,
,,Philosophy-150900,,2,,3,
,,Political Science-220700,14,16,13,10,
,,"Psychology, General-200100",48,33,41,43,
,,Sociology-220800,31,20,29,23,
,,Spanish-110500,1,,2,,
,,Speech Communication-150600,17,11,19,9,
,Associate of Science (A.S.) degree                           Total,,9,13,6,15,
,,Biotechnology and Biomedical Technology-043000,4,8,2,9,
,,Computer Information Systems-070200,1,,1,,
,,Computer Programming-070710,1,4,,3,
,,Laboratory Science Technology-095500,3,1,3,3,
,Associate of Arts (A.A.) degree                              Total,,134,113,133,152,
,,Accounting-050200,6,7,1,3,
,,Animation-061440,8,6,4,6,
,,Art-100200,1,1,1,1,
,,"Business and Commerce, General-050100",4,2,2,3,
,,Creative Writing-150700,2,2,2,,
,,English-150100,,,,1,
,,Film Production-061220,,,1,,
,,Film Studies-061200,,,,1,
,,Human Services-210400,1,1,,,
,,Humanities and Social Sciences-490330,77,67,87,101,
,,"Liberal Arts and Sciences, General-490100",26,21,19,27,
,,Multimedia-061410,2,2,3,2,
,,Other Education-089900,2,,4,1,
,,Sign Language-085000,2,1,3,2,
,,Spanish-110500,1,,1,1,
,,Website Design and Development-061430,2,3,5,3,
,Certificate requiring 30 to < 60 semester units              Total,,348,265,291,300,
,,"Business and Commerce, General-050100",4,1,3,2,
,,Computer Information Systems-070200,2,,1,,
,,Computer Programming-070710,1,4,,3,
,,Human Services-210400,20,7,,,
,,Laboratory Science Technology-095500,3,2,4,3,
,,Sign Language-085000,3,2,2,2,
,,Transfer Studies-490110,315,249,281,290,
,Certificate requiring 16 to fewer than 30 semester units     Total,,27,38,31,43,
,,Animation-061440,4,4,5,5,
,,Biotechnology and Biomedical Technology-043000,6,12,11,11,
,,Computer Graphics and Digital Imagery-061460,1,1,,,
,,Creative Writing-150700,2,1,2,2,
,,Digital Media-061400,2,2,1,4,
,,Educational Aide (Teacher Assistant)-080200,2,1,3,2,
,,Electronic Game Design-061420,,2,,3,
,,English as a Second Language - Integrated-493087,,,,2,
,,Film Production-061220,4,8,4,3,
,,Human Services-210400,,1,3,5,
,,Multimedia-061410,4,2,,1,
,,Office Technology/Office Computer Applications-051400,2,,,,
,,Other Media and Communications-069900,,,,1,
,,Painting and Drawing-100210,,,,2,
,,Small Business and Entrepreneurship-050640,,,,1,
,,Spanish-110500,,,,1,
,,Website Design and Development-061430,,2,1,,
,,Women's Studies-220110,,2,1,,
,Certificate requiring 8 to fewer than 16 semester units      Total,,,2,1,1,
,,Film Production-061220,,2,1,1,
,Noncredit award requiring from 480 to < 960 hours            Total,,80,86,81,24,
,,English-150100,80,86,81,24,
,Noncredit award requiring from 192 to < 288 hours            Total,,8,3,8,7,
,,Computer Graphics and Digital Imagery-061460,2,,1,,
,,English as a Second Language - Integrated-493087,6,3,7,7,
,Noncredit award requiring from 96 to < 144 hours             Total,,81,66,86,29,
,,Community Health Care Worker-126100,76,66,86,29,
,,Educational Aide (Teacher Assistant)-080200,5,,,,
,Noncredit award requiring from 48 to < 96 hours              Total,,1,32,27,56,
,,English as a Second Language - Writing-493084,1,,,,
,,Human Services-210400,,32,27,56,
,Noncredit award requiring < 48 hours                         Total,,,10,28,17,
,,Educational Aide (Teacher Assistant)-080200,,9,28,17,
,,Study Skills-493014,,1,,,
