,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Norco Total,,,"2,372","2,156","1,983","2,120",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,323,274,272,296,
,,Administration of Justice-210500,49,32,32,38,
,,"Biology, General-040100",9,11,10,17,
,,Business Administration-050500,141,140,139,133,
,,"Chemistry, General-190500",2,3,4,4,
,,Child Development/Early Care and Education-130500,27,15,18,12,
,,Computer Science (Transfer)-070600,24,25,18,32,
,,Environmental Science-030100,,,,2,
,,"Mathematics, General-170100",43,31,35,42,
,,"Physics, General-190200",28,17,16,16,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,281,248,241,261,
,,Anthropology-220200,7,6,4,1,
,,Art-100200,17,13,10,18,
,,Child and Adolescent Development-130510,43,37,37,22,
,,Economics-220400,,,,1,
,,English-150100,16,12,7,10,
,,"Fine Arts, General-100100",3,1,1,5,
,,History-220500,16,18,11,22,
,,Kinesiology-127000,4,14,12,6,
,,Music-100400,,,2,5,
,,Philosophy-150900,4,3,1,2,
,,Political Science-220700,11,16,6,16,
,,"Psychology, General-200100",76,68,71,80,
,,Social Justice Studies-220130,,1,,1,
,,Sociology-220800,42,28,49,40,
,,Spanish-110500,13,9,5,5,
,,Speech Communication-150600,29,22,25,27,
,Associate of Science (A.S.) degree                           Total,,435,360,333,352,
,,Accounting-050200,12,9,6,7,
,,Architectural Drafting-095310,,,1,,
,,Biological and Physical Sciences (and Mathematics)-490200,267,228,194,206,
,,"Business and Commerce, General-050100",9,2,8,4,
,,Business Management-050600,7,7,2,6,
,,Child Development/Early Care and Education-130500,13,8,6,8,
,,Children with Special Needs-130520,1,,1,3,
,,Civil and Construction Management Technology-095700,,3,6,3,
,,Commercial Music-100500,2,3,7,1,
,,Computer Programming-070710,13,7,10,5,
,,Construction Inspection-095720,8,5,5,6,
,,Desktop Publishing-061450,3,,,2,
,,Digital Media-061400,14,12,10,18,
,,Drafting Technology-095300,1,5,2,2,
,,Electrical-095220,7,2,12,5,
,,Electronic Game Design-061420,13,11,6,10,
,,Electronics and Electric Technology-093400,,,,2,
,,"Engineering, General (requires Calculus) (Transfer)-090100",42,37,31,45,
,,Environmental Control Technology-094600,1,,1,,
,,Logistics and Materials Transportation-051000,14,12,11,7,
,,Machining and Machine Tools-095630,1,2,3,1,
,,Manufacturing and Industrial Technology-095600,,1,4,3,
,,Mechanical Drafting-095340,,2,,1,
,,Office Technology/Office Computer Applications-051400,,,1,,
,,Real Estate-051100,5,4,5,6,
,,Retail Store Operations and Management-050650,2,,1,1,
,Associate of Arts (A.A.) degree                              Total,,"1,107","1,052",909,"1,015",
,,Commercial Music-100500,2,,2,1,
,,Humanities and Fine Arts-490310,193,206,161,188,
,,Humanities and Social Sciences-490330,573,537,451,505,
,,Humanities-490300,25,24,19,31,
,,"Liberal Arts and Sciences, General-490100",277,255,248,268,
,,Music-100400,,,1,1,
,,Physical Education-083500,37,30,27,21,
,Certificate requiring 30 to < 60 semester units              Total,,173,140,112,124,
,,Accounting-050200,14,15,7,7,
,,"Business and Commerce, General-050100",11,4,10,5,
,,Business Management-050600,8,9,3,4,
,,Child Development/Early Care and Education-130500,15,10,7,11,
,,Children with Special Needs-130520,,1,1,2,
,,Commercial Music-100500,4,2,2,4,
,,Computer Programming-070710,8,4,7,1,
,,Construction Inspection-095720,14,6,12,8,
,,Electrical-095220,68,59,42,67,
,,Electronic Game Design-061420,15,10,6,5,
,,Environmental Control Technology-094600,3,1,1,,
,,Logistics and Materials Transportation-051000,7,14,5,3,
,,Manufacturing and Industrial Technology-095600,,,,1,
,,Real Estate-051100,4,5,4,4,
,,Retail Store Operations and Management-050650,2,,1,1,
,,Telecommunications Technology-093430,,,4,1,
,Certificate requiring 16 to fewer than 30 semester units     Total,,49,40,46,54,
,,Administration of Justice-210500,,,1,,
,,Architectural Drafting-095310,,,1,,
,,Civil and Construction Management Technology-095700,,4,6,9,
,,Computer Programming-070710,3,5,4,2,
,,Desktop Publishing-061450,3,,1,1,
,,Digital Media-061400,21,14,12,14,
,,Drafting Technology-095300,4,5,1,2,
,,Electronics and Electric Technology-093400,,,,3,
,,"Forensics, Evidence, and Investigation-210540",,,1,7,
,,Logistics and Materials Transportation-051000,9,6,5,6,
,,Machining and Machine Tools-095630,5,4,3,5,
,,Manufacturing and Industrial Technology-095600,2,1,8,3,
,,Mechanical Drafting-095340,1,1,2,1,
,,Office Technology/Office Computer Applications-051400,1,,1,1,
,Certificate requiring 8 to fewer than 16 semester units      Total,,,1,1,1,
,,Environmental Control Technology-094600,,1,1,,
,,Small Business and Entrepreneurship-050640,,,,1,
,Noncredit award requiring from 192 to < 288 hours            Total,,,,5,1,
,,Drafting Technology-095300,,,4,1,
,,Machining and Machine Tools-095630,,,1,,
,Noncredit award requiring from 144 to < 192 hours            Total,,,2,,,
,,English as a Second Language - Integrated-493087,,2,,,
,Noncredit award requiring from 48 to < 96 hours              Total,,4,13,44,11,
,,Accounting-050200,,,30,8,
,,E-Commerce (Business emphasis)-050970,2,5,5,2,
,,Other Business and Management-059900,2,8,9,1,
,Noncredit award requiring < 48 hours                         Total,,,26,20,5,
,,Banking and Finance-050400,,21,19,4,
,,Other Business and Management-059900,,5,1,1,
