,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Irvine Total,,,"4,541","7,294","5,857","4,893","7,596",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,456,449,373,341,538,
,,Administration of Justice-210500,63,47,36,29,44,
,,"Biology, General-040100",5,17,25,24,34,
,,Business Administration-050500,211,227,170,178,263,
,,Child Development/Early Care and Education-130500,5,10,1,3,3,
,,Computer Science (Transfer)-070600,20,25,23,10,29,
,,Environmental Science-030100,,,,2,1,
,,"Health Occupations, General-120100",1,1,3,,,
,,"Mathematics, General-170100",94,77,72,49,110,
,,"Physics, General-190200",57,45,43,46,54,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,325,326,271,275,367,
,,Anthropology-220200,1,2,2,3,1,
,,Art-100200,23,30,18,23,27,
,,Dramatic Arts-100700,1,6,4,2,3,
,,Economics-220400,23,34,32,36,75,
,,English-150100,12,17,10,13,11,
,,"Fine Arts, General-100100",,5,8,4,4,
,,Geography-220600,,2,3,1,4,
,,Global Studies-221020,2,3,,,4,
,,History-220500,23,16,14,11,11,
,,Kinesiology-127000,16,11,6,6,12,
,,"Law, General-140100",1,,2,2,2,
,,Liberal Studies-490120,1,1,5,1,1,
,,Music-100400,3,3,6,3,5,
,,Philosophy-150900,3,5,1,5,3,
,,Political Science-220700,23,15,19,24,27,
,,"Psychology, General-200100",105,104,81,94,101,
,,Social Justice Studies-220130,,2,,1,2,
,,Sociology-220800,29,26,17,16,28,
,,Spanish-110500,4,1,2,2,1,
,,Speech Communication-150600,55,43,41,28,45,
,Associate of Science (A.S.) degree                           Total,,392,803,734,579,"1,035",
,,Accounting-050200,65,85,77,62,83,
,,Administration of Justice-210500,8,10,8,2,12,
,,Biological and Physical Sciences (and Mathematics)-490200,96,341,297,231,469,
,,"Biology, General-040100",4,2,2,2,3,
,,Business Management-050600,2,10,12,13,15,
,,"Chemistry, General-190500",38,68,54,82,103,
,,Child Development/Early Care and Education-130500,5,5,3,1,6,
,,Computer Networking-070810,3,1,4,2,8,
,,Computer Science (Transfer)-070600,28,37,32,17,34,
,,Drafting Technology-095300,2,3,2,,3,
,,Electronic Game Design-061420,,,,,2,
,,Electronics and Electric Technology-093400,4,3,4,6,1,
,,"Engineering, General (requires Calculus) (Transfer)-090100",5,4,1,6,1,
,,Graphic Art and Design-103000,11,8,7,9,9,
,,"Health Professions, Transfer Core Curriculum-126000",21,26,45,39,46,
,,Infants and Toddlers-130590,2,2,1,,,
,,Management Development and Supervision-050630,1,,1,,1,
,,Manufacturing and Industrial Technology-095600,2,1,,,,
,,"Mathematics, General-170100",62,93,85,44,110,
,,Office Technology/Office Computer Applications-051400,1,5,2,,2,
,,Other Interdisciplinary Studies-499900,,,18,10,24,
,,Paralegal-140200,7,28,20,11,26,
,,"Physics, General-190200",22,67,54,37,72,
,,Real Estate-051100,,1,4,3,1,
,,Software Applications-070210,2,3,1,1,4,
,,Technical Theater-100600,,,,1,,
,,Website Design and Development-061430,1,,,,,
,Associate of Arts (A.A.) degree                              Total,,"1,520","2,662","1,875","1,508","2,138",
,,Anthropology-220200,2,4,2,3,,
,,Art-100200,6,7,5,8,3,
,,Biological and Physical Sciences (and Mathematics)-490200,63,25,17,3,1,
,,"Biology, General-040100",2,,,,,
,,Business Administration-050500,88,156,122,99,143,
,,"Chemistry, General-190500",27,8,5,1,,
,,Chinese-110700,,4,5,1,6,
,,Dance-100800,,1,1,3,3,
,,Dramatic Arts-100700,1,2,,1,3,
,,Economics-220400,2,3,1,,5,
,,English-150100,2,5,4,4,1,
,,Film Studies-061200,3,2,1,2,4,
,,"Fine Arts, General-100100",2,,3,1,,
,,French-110200,2,6,3,4,5,
,,Geography-220600,1,2,2,1,,
,,Global Studies-221020,,,,,2,
,,Graphic Art and Design-103000,,,1,,,
,,"Health Professions, Transfer Core Curriculum-126000",18,6,2,2,,
,,History-220500,3,18,14,9,4,
,,Humanities and Fine Arts-490310,19,51,38,43,53,
,,Humanities-490300,25,104,186,122,192,
,,Japanese-110800,7,13,18,9,16,
,,"Liberal Arts and Sciences, General-490100",578,837,473,391,522,
,,Liberal Studies-490120,550,"1,092",834,716,"1,066",
,,Music-100400,1,3,2,1,4,
,,Other Interdisciplinary Studies-499900,67,239,83,22,25,
,,Philosophy-150900,1,2,,3,2,
,,"Physics, General-190200",3,,2,,,
,,Political Science-220700,,3,,,1,
,,"Psychology, General-200100",37,52,44,41,54,
,,Sign Language-085000,,,,1,5,
,,Sociology-220800,1,3,1,2,4,
,,Spanish-110500,4,4,3,4,6,
,,Speech Communication-150600,4,10,3,10,8,
,,Technical Theater-100600,1,,,1,,
,Certificate requiring 30 to < 60 semester units              Total,,"1,403","1,381","1,270","1,147","1,791",
,,Child Development/Early Care and Education-130500,3,5,5,1,6,
,,Retail Store Operations and Management-050650,,,,,1,
,,Transfer Studies-490110,"1,400","1,376","1,265","1,146","1,784",
,Certificate requiring 16 to fewer than 30 semester units     Total,,113,267,209,200,307,
,,Accounting-050200,50,142,103,89,99,
,,Administration of Justice-210500,3,18,5,5,3,
,,Business Management-050600,3,13,8,23,15,
,,Chinese-110700,,,,,28,
,,Commercial Dance-100810,1,,,,2,
,,Computer Information Systems-070200,,,1,,,
,,Computer Networking-070810,1,2,,,,
,,Drafting Technology-095300,4,4,5,1,4,
,,Electrical-095220,,,15,13,18,
,,Electronic Game Design-061420,,,,,1,
,,Electronics and Electric Technology-093400,2,3,4,5,8,
,,Environmental Technology-030300,2,2,,1,1,
,,Fitness Trainer-083520,,3,2,3,1,
,,Graphic Art and Design-103000,10,18,9,18,4,
,,Infants and Toddlers-130590,1,2,1,1,1,
,,Japanese-110800,,,,,44,
,,Laser and Optical Technology-093480,,2,,,,
,,Management Development and Supervision-050630,2,,1,,,
,,Manufacturing and Industrial Technology-095600,2,1,,,3,
,,Office Technology/Office Computer Applications-051400,4,1,6,1,,
,,Paralegal-140200,19,32,25,13,35,
,,Real Estate-051100,2,19,20,15,29,
,,Sign Language-085000,,,,7,6,
,,Software Applications-070210,2,2,3,3,1,
,,Technical Theater-100600,2,2,1,2,4,
,,Website Design and Development-061430,3,1,,,,
,Certificate requiring 8 to fewer than 16 semester units      Total,,31,270,179,138,184,
,,Biotechnology and Biomedical Technology-043000,13,23,11,5,23,
,,Computer Networking-070810,,,22,23,23,
,,Real Estate-051100,18,247,146,110,138,
,Certificate requiring 6 to < 18 semester units               Total,,285,687,406,322,494,
,,Accounting-050200,93,259,162,143,177,
,,Animation-061440,3,2,3,2,5,
,,Biotechnology and Biomedical Technology-043000,1,,,,,
,,Child Development/Early Care and Education-130500,48,110,63,65,97,
,,Civil Drafting-095320,1,3,3,2,1,
,,Coaching-083560,,,,2,,
,,Commercial Dance-100810,3,3,1,5,2,
,,Commercial Music-100500,,,,1,3,
,,Computer Graphics and Digital Imagery-061460,,4,1,,1,
,,Computer Networking-070810,6,15,1,9,7,
,,Database Design and Administration-070720,,,,3,5,
,,Digital Media-061400,6,3,1,2,3,
,,Electrical-095220,21,12,16,4,4,
,,Electronic Game Design-061420,,,24,9,5,
