,,,Annual 2020-2021,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
LA Mission Total,,,"2,526","2,527","2,460","2,868","2,852",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,183,187,164,167,186,
,,Administration of Justice-210500,40,51,27,26,26,
,,"Biology, General-040100",9,12,8,16,14,
,,Business Administration-050500,74,74,69,61,85,
,,Child Development/Early Care and Education-130500,38,29,42,35,27,
,,Computer Science (Transfer)-070600,6,3,3,2,,
,,"Health Occupations, General-120100",,,,4,7,
,,"Mathematics, General-170100",10,14,12,19,18,
,,"Nutrition, Foods, and Culinary Arts-130600",6,4,2,1,5,
,,Television (including combined TV/Film/Video)-060420,,,1,3,4,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,290,209,188,241,211,
,,Art-100200,11,11,13,15,17,
,,Dramatic Arts-100700,6,2,1,7,2,
,,English-150100,14,7,7,14,7,
,,"Fine Arts, General-100100",2,2,1,4,5,
,,Kinesiology-127000,15,20,17,13,10,
,,Liberal Studies-490120,24,16,11,17,22,
,,Philosophy-150900,1,1,3,3,1,
,,Political Science-220700,26,23,12,18,15,
,,"Psychology, General-200100",95,73,74,80,73,
,,Social Justice: Chicano Studies-220160,4,1,2,11,6,
,,Sociology-220800,61,43,36,43,36,
,,Spanish-110500,13,3,,4,3,
,,Speech Communication-150600,18,7,11,12,14,
,Associate of Science (A.S.) degree                           Total,,149,153,111,140,134,
,,Administration of Justice-210500,13,14,14,14,10,
,,"Biology, General-040100",12,6,5,6,6,
,,Biotechnology and Biomedical Technology-043000,7,5,6,10,10,
,,Computer Infrastructure and Support-070800,8,14,6,18,9,
,,Computer Programming-070710,3,4,2,9,8,
,,"Engineering, General (requires Calculus) (Transfer)-090100",2,6,5,5,4,
,,"Health Professions, Transfer Core Curriculum-126000",98,95,70,65,82,
,,Pharmacy Technology-122100,6,9,3,13,5,
,Associate of Arts (A.A.) degree                              Total,,897,803,633,703,676,
,,Accounting-050200,22,15,5,8,6,
,,Animation-061440,4,7,4,3,8,
,,Art-100200,2,4,1,7,7,
,,Biological and Physical Sciences (and Mathematics)-490200,161,145,122,124,120,
,,Business Administration-050500,15,15,9,13,12,
,,"Business and Commerce, General-050100",,1,,,,
,,Business Management-050600,4,6,3,4,7,
,,Child Development/Early Care and Education-130500,26,34,46,36,22,
,,Computer Information Systems-070200,1,1,,,,
,,Culinary Arts-130630,14,16,13,29,19,
,,English-150100,1,,,,,
,,Ethnic Studies-220300,20,11,12,11,18,
,,Family Studies-130800,7,3,2,7,6,
,,Gerontology-130900,1,1,,,1,
,,Humanities and Fine Arts-490310,25,18,20,26,29,
,,Humanities and Social Sciences-490330,,2,,,,
,,Interior Design and Merchandising-130200,5,4,8,11,8,
,,"Liberal Arts and Sciences, General-490100",551,477,358,377,375,
,,Liberal Studies-490120,,1,,,,
,,"Mathematics, General-170100",1,1,,,,
,,Multimedia-061410,10,13,10,15,16,
,,Office Technology/Office Computer Applications-051400,,4,,,,
,,Painting and Drawing-100210,,1,,2,1,
,,Paralegal-140200,18,16,9,15,12,
,,"Psychology, General-200100",1,,1,,,
,,Restaurant and Food Services and Management-130710,7,6,10,15,9,
,,Sociology-220800,1,,,,,
,,Spanish-110500,,1,,,,
,Certificate requiring 30 to < 60 semester units              Total,,690,686,627,691,758,
,,Animation-061440,1,4,8,1,4,
,,Child Development/Early Care and Education-130500,20,27,35,43,16,
,,Computer Programming-070710,1,,,,,
,,Culinary Arts-130630,9,21,23,25,49,
,,"Educational Aide (Teacher Assistant), Bilingual-080210",,1,,,,
,,Infants and Toddlers-130590,10,14,19,21,11,
,,"Information Technology, General-070100",1,,,,,
,,Interior Design and Merchandising-130200,1,4,6,7,11,
,,Multimedia-061410,6,5,2,3,21,
,,Paralegal-140200,18,20,13,14,17,
,,Preshool Age Children-130540,16,34,51,53,23,
,,Probation and Parole-210520,1,2,,,,
,,Restaurant and Food Services and Management-130710,4,7,11,12,17,
,,Surveying-095730,,,,1,1,
,,Transfer Studies-490110,602,547,459,511,588,
,Certificate requiring 16 to fewer than 30 semester units     Total,,120,221,177,224,229,
,,Accounting-050200,11,9,4,5,12,
,,Administrative Medical Assisting-120820,,,,3,3,
,,Applied Photography-101200,,,,9,8,
,,Biotechnology and Biomedical Technology-043000,7,6,6,10,18,
,,Certified Nurse Assistant-123030,3,3,,,,
,,Child Development Administration and Management-130580,,4,4,21,10,
,,Child Development/Early Care and Education-130500,43,134,93,67,58,
,,Computer Information Systems-070200,,,,,2,
,,Computer Infrastructure and Support-070800,7,10,10,22,21,
,,Computer Programming-070710,3,3,4,6,17,
,,Computer Systems Analysis-070730,1,1,2,3,4,
,,Culinary Arts-130630,4,9,9,20,,
,,Drafting Technology-095300,,,1,2,1,
,,English as a Second Language - Integrated-493087,,,,,1,
,,Family Studies-130800,6,2,1,5,12,
,,Gerontology-130900,1,1,,4,3,
,,Interior Design and Merchandising-130200,,1,3,3,2,
,,Multimedia-061410,3,4,2,2,,
,,Office Technology/Office Computer Applications-051400,9,10,16,7,16,
,,Pharmacy Technology-122100,18,15,10,22,21,
,,Probation and Parole-210520,,,3,1,,
,,"Psychology, General-200100",,,1,1,2,
,,Real Estate-051100,,,,1,5,
,,Retail Store Operations and Management-050650,,,1,,,
,,Surveying-095730,,,1,3,3,
,,Technical Theater-100600,,,,,4,
,,The School Age Child-130550,4,9,6,7,6,
,Certificate requiring 8 to fewer than 16 semester units      Total,,79,138,162,302,225,
,,Biotechnology and Biomedical Technology-043000,3,27,30,27,25,
,,Certified Nurse Assistant-123030,,,7,39,41,
,,Child Development/Early Care and Education-130500,76,111,115,199,122,
,,Computer Infrastructure and Support-070800,,,,14,19,
,,"Health Occupations, General-120100",,,5,17,7,
,,"Nutrition, Foods, and Culinary Arts-130600",,,5,6,11,
,Certificate requiring 6 to < 18 semester units               Total,,110,128,69,105,69,
,,Administration of Justice-210500,1,5,3,2,,
,,Child Development Administration and Management-130580,5,2,,,,
,,Child Development/Early Care and Education-130500,3,2,1,1,,
,,Computer Infrastructure and Support-070800,2,8,4,4,1,
,,Computer Software Development-070700,,2,,,1,
,,Culinary Arts-130630,47,62,43,83,48,
,,Digital Media-061400,5,5,1,,,
,,Drafting Technology-095300,,,1,,5,
,,English as a Second Language - Integrated-493087,1,,,,5,
,,"Health Occupations, General-120100",29,20,2,,,
,,"Information Technology, General-070100",,4,3,2,2,
,,Interior Design and Merchandising-130200,3,3,2,2,,
,,Multimedia-061410,4,6,2,,1,
,,"Nutrition, Foods, and Culinary Arts-130600",1,,,,,
,,Office Technology/Office Computer Applications-051400,2,3,,,,
,,Police Academy-210550,,1,,,,
,,Restaurant and Food Services and Management-130710,4,5,7,11,6,
,,Software Applications-070210,3,,,,,
,"Other Credit Award, < 6 semester units                       Total",,1,,,,,
,,General Studies-493000,1,,,,,
,Noncredit award requiring from 288 to < 480 hours            Total,,,,118,15,1,
,,English as a Second Language - Integrated-493087,,,116,15,,
,,Secondary Education (Grades 9-12) and G.E.D.-493062,,,2,,1,
,Noncredit award requiring from 192 to < 288 hours            Total,,,,61,193,232,
,,Construction Crafts Technology-095200,,,11,,,
,,Electrocardiography-121500,,,,23,37,
,,English as a Second Language - Integrated-493087,,,46,160,155,
,,Secondary Education (Grades 9-12) and G.E.D.-493062,,,4,10,40,
,Noncredit award requiring from 144 to < 192 hours            Total,,,1,9,50,48,
,,English as a Second Language - Integrated-493087,,,9,18,24,
,,Job Seeking/Changing Skills-493012,,1,,6,,
,,Phlebotomy-120510,,,,26,24,
,Noncredit award requiring from 96 to < 144 hours             Total,,,,81,27,82,
,,Citizenship / ESL Civics-493090,,,6,21,12,
,,English as a Second Language - Listening and Speaking-493086,,,75,1,,
,,"Health Occupations, General-120100",,,,5,70,
,Noncredit award requiring from 48 to < 96 hours              Total,,,,1,,,
,,"Mathematics, General-170100",,,1,,,
,Noncredit award requiring < 48 hours                         Total,,7,1,59,10,1,
,,Mathematics Skills-170200,,1,,,,
,,"Mathematics, General-170100",7,,59,10,1,
